nombre,ruc,direccion,telefono,_class
Proveedor 52,897864766,"Carrera 85 # 56-17, Cali",303779387,com.ShopMaster.Model.Proveedor
Proveedor 53,897408262,"Carrera 82 # 87-75, Medellín",302705792,com.ShopMaster.Model.Proveedor
Proveedor 54,898909026,"Carrera 9 # 44-34, Bogotá",301067948,com.ShopMaster.Model.Proveedor
Proveedor 55,896276281,"Carrera 26 # 72-54, Bogotá",318940904,com.ShopMaster.Model.Proveedor
Proveedor 56,899803779,"Carrera 94 # 96-39, Cartagena",309543865,com.ShopMaster.Model.Proveedor
Proveedor 57,898340440,"Carrera 64 # 93-95, Barranquilla",308904552,com.ShopMaster.Model.Proveedor
Proveedor 58,897000835,"Carrera 71 # 37-1, Cartagena",311480008,com.ShopMaster.Model.Proveedor
Proveedor 59,899642437,"Carrera 98 # 80-62, Barranquilla",317666524,com.ShopMaster.Model.Proveedor
Proveedor 60,898426902,"Carrera 64 # 89-83, Cali",312650074,com.ShopMaster.Model.Proveedor
Proveedor 61,894663646,"Carrera 10 # 38-64, Cali",302768417,com.ShopMaster.Model.Proveedor
Proveedor 62,896854688,"Carrera 51 # 91-3, Cali",312168914,com.ShopMaster.Model.Proveedor
Proveedor 63,897518663,"Carrera 14 # 86-34, Barranquilla",305602773,com.ShopMaster.Model.Proveedor
Proveedor 64,898794292,"Carrera 80 # 86-32, Medellín",307104556,com.ShopMaster.Model.Proveedor
Proveedor 65,897218417,"Carrera 84 # 87-14, Cartagena",308204101,com.ShopMaster.Model.Proveedor
Proveedor 66,891103944,"Carrera 7 # 21-79, Cartagena",318844533,com.ShopMaster.Model.Proveedor
Proveedor 67,894558763,"Carrera 51 # 5-11, Barranquilla",308137194,com.ShopMaster.Model.Proveedor
Proveedor 68,893024032,"Carrera 59 # 67-17, Cali",318790469,com.ShopMaster.Model.Proveedor
Proveedor 69,893902589,"Carrera 76 # 38-1, Medellín",314755774,com.ShopMaster.Model.Proveedor
Proveedor 70,894613592,"Carrera 42 # 100-38, Cartagena",304869640,com.ShopMaster.Model.Proveedor
Proveedor 71,899283846,"Carrera 86 # 23-76, Barranquilla",317639033,com.ShopMaster.Model.Proveedor
Proveedor 72,895820712,"Carrera 50 # 49-13, Barranquilla",314865816,com.ShopMaster.Model.Proveedor
Proveedor 73,894100614,"Carrera 85 # 39-67, Cartagena",311334301,com.ShopMaster.Model.Proveedor
Proveedor 74,898685157,"Carrera 41 # 2-61, Cali",319072188,com.ShopMaster.Model.Proveedor
Proveedor 75,898121275,"Carrera 77 # 84-65, Medellín",307920833,com.ShopMaster.Model.Proveedor
Proveedor 76,891362051,"Carrera 23 # 39-45, Barranquilla",311810310,com.ShopMaster.Model.Proveedor
Proveedor 77,894622799,"Carrera 98 # 7-99, Barranquilla",304863296,com.ShopMaster.Model.Proveedor
Proveedor 78,895373412,"Carrera 13 # 66-87, Cali",315324716,com.ShopMaster.Model.Proveedor
Proveedor 79,894073528,"Carrera 61 # 14-76, Cali",308334201,com.ShopMaster.Model.Proveedor
Proveedor 80,896127281,"Carrera 100 # 36-92, Barranquilla",314825773,com.ShopMaster.Model.Proveedor
Proveedor 81,894692464,"Carrera 25 # 96-38, Barranquilla",313164347,com.ShopMaster.Model.Proveedor
Proveedor 82,898927544,"Carrera 57 # 58-11, Cali",304871975,com.ShopMaster.Model.Proveedor
Proveedor 83,897438147,"Carrera 85 # 50-75, Bogotá",304823232,com.ShopMaster.Model.Proveedor
Proveedor 84,899726795,"Carrera 57 # 66-52, Cartagena",306791144,com.ShopMaster.Model.Proveedor
Proveedor 85,893284893,"Carrera 40 # 25-14, Cali",308314168,com.ShopMaster.Model.Proveedor
Proveedor 86,892974204,"Carrera 56 # 58-32, Cartagena",316045085,com.ShopMaster.Model.Proveedor
Proveedor 87,891646707,"Carrera 43 # 39-16, Medellín",315448749,com.ShopMaster.Model.Proveedor
Proveedor 88,892516499,"Carrera 70 # 61-32, Medellín",317952116,com.ShopMaster.Model.Proveedor
Proveedor 89,898155304,"Carrera 95 # 31-64, Bogotá",304300540,com.ShopMaster.Model.Proveedor
Proveedor 90,899224185,"Carrera 48 # 55-54, Cartagena",313754044,com.ShopMaster.Model.Proveedor
Proveedor 91,898124899,"Carrera 52 # 82-25, Barranquilla",306804747,com.ShopMaster.Model.Proveedor
Proveedor 92,899014982,"Carrera 22 # 8-46, Barranquilla",302564027,com.ShopMaster.Model.Proveedor
Proveedor 93,895089730,"Carrera 96 # 82-21, Barranquilla",315824898,com.ShopMaster.Model.Proveedor
Proveedor 94,893931345,"Carrera 92 # 84-43, Medellín",319334636,com.ShopMaster.Model.Proveedor
Proveedor 95,891084964,"Carrera 83 # 21-100, Cali",312431800,com.ShopMaster.Model.Proveedor
Proveedor 96,892263027,"Carrera 17 # 65-13, Cali",301164391,com.ShopMaster.Model.Proveedor
Proveedor 97,894508018,"Carrera 68 # 47-86, Medellín",314225352,com.ShopMaster.Model.Proveedor
Proveedor 98,892293392,"Carrera 96 # 47-74, Medellín",307729606,com.ShopMaster.Model.Proveedor
Proveedor 99,895631245,"Carrera 13 # 2-58, Cartagena",304307816,com.ShopMaster.Model.Proveedor
Proveedor 100,891068317,"Carrera 53 # 83-88, Cartagena",315712431,com.ShopMaster.Model.Proveedor
Proveedor 101,896763754,"Carrera 99 # 80-20, Cartagena",303273996,com.ShopMaster.Model.Proveedor
Proveedor 102,896887510,"Carrera 54 # 89-57, Barranquilla",311728130,com.ShopMaster.Model.Proveedor
Proveedor 103,893756893,"Carrera 43 # 31-66, Cartagena",309801782,com.ShopMaster.Model.Proveedor
Proveedor 104,895699385,"Carrera 32 # 39-80, Bogotá",305932781,com.ShopMaster.Model.Proveedor
Proveedor 105,894106474,"Carrera 61 # 59-31, Medellín",314411223,com.ShopMaster.Model.Proveedor
Proveedor 106,899685201,"Carrera 93 # 13-15, Medellín",306143175,com.ShopMaster.Model.Proveedor
Proveedor 107,891866641,"Carrera 6 # 44-95, Cali",312577700,com.ShopMaster.Model.Proveedor
Proveedor 108,893050932,"Carrera 60 # 17-14, Medellín",303638553,com.ShopMaster.Model.Proveedor
Proveedor 109,895724411,"Carrera 48 # 53-100, Barranquilla",308805953,com.ShopMaster.Model.Proveedor
Proveedor 110,895321143,"Carrera 43 # 1-30, Bogotá",314094954,com.ShopMaster.Model.Proveedor
Proveedor 111,895916478,"Carrera 37 # 70-39, Barranquilla",302980235,com.ShopMaster.Model.Proveedor
Proveedor 112,898360877,"Carrera 11 # 13-85, Bogotá",301359163,com.ShopMaster.Model.Proveedor
Proveedor 113,896963266,"Carrera 98 # 12-66, Cartagena",301667580,com.ShopMaster.Model.Proveedor
Proveedor 114,893903423,"Carrera 22 # 41-70, Cartagena",304884371,com.ShopMaster.Model.Proveedor
Proveedor 115,891643130,"Carrera 48 # 48-66, Bogotá",309089652,com.ShopMaster.Model.Proveedor
Proveedor 116,898640924,"Carrera 78 # 80-92, Cali",314834463,com.ShopMaster.Model.Proveedor
Proveedor 117,892899642,"Carrera 37 # 2-76, Bogotá",301382988,com.ShopMaster.Model.Proveedor
Proveedor 118,899161247,"Carrera 46 # 37-96, Cali",311988057,com.ShopMaster.Model.Proveedor
Proveedor 119,898463543,"Carrera 4 # 43-29, Medellín",318167984,com.ShopMaster.Model.Proveedor
Proveedor 120,891839668,"Carrera 33 # 19-89, Cali",317393263,com.ShopMaster.Model.Proveedor
Proveedor 121,893934817,"Carrera 28 # 94-14, Cali",313460775,com.ShopMaster.Model.Proveedor
Proveedor 122,897774997,"Carrera 24 # 100-63, Cartagena",319381719,com.ShopMaster.Model.Proveedor
Proveedor 123,894361247,"Carrera 93 # 87-53, Bogotá",307440019,com.ShopMaster.Model.Proveedor
Proveedor 124,898736236,"Carrera 70 # 48-82, Bogotá",319749455,com.ShopMaster.Model.Proveedor
Proveedor 125,898349470,"Carrera 63 # 31-51, Medellín",306665127,com.ShopMaster.Model.Proveedor
Proveedor 126,894259507,"Carrera 2 # 53-79, Barranquilla",311016547,com.ShopMaster.Model.Proveedor
Proveedor 127,894753706,"Carrera 60 # 9-44, Medellín",317035016,com.ShopMaster.Model.Proveedor
Proveedor 128,891930334,"Carrera 34 # 46-74, Medellín",312861463,com.ShopMaster.Model.Proveedor
Proveedor 129,899340564,"Carrera 14 # 12-13, Medellín",313901185,com.ShopMaster.Model.Proveedor
Proveedor 130,892024258,"Carrera 53 # 19-52, Medellín",319041116,com.ShopMaster.Model.Proveedor
Proveedor 131,894331138,"Carrera 82 # 97-2, Bogotá",311186575,com.ShopMaster.Model.Proveedor
Proveedor 132,897387634,"Carrera 73 # 53-24, Barranquilla",311517320,com.ShopMaster.Model.Proveedor
Proveedor 133,896780323,"Carrera 45 # 99-42, Medellín",307919758,com.ShopMaster.Model.Proveedor
Proveedor 134,895720458,"Carrera 10 # 80-21, Cali",319770716,com.ShopMaster.Model.Proveedor
Proveedor 135,896256390,"Carrera 98 # 93-71, Cartagena",316251410,com.ShopMaster.Model.Proveedor
Proveedor 136,898203333,"Carrera 80 # 45-28, Bogotá",301910743,com.ShopMaster.Model.Proveedor
Proveedor 137,894154064,"Carrera 41 # 2-11, Cartagena",318571108,com.ShopMaster.Model.Proveedor
Proveedor 138,891194831,"Carrera 22 # 21-28, Medellín",303742947,com.ShopMaster.Model.Proveedor
Proveedor 139,896258142,"Carrera 42 # 28-47, Cali",318762757,com.ShopMaster.Model.Proveedor
Proveedor 140,896521494,"Carrera 17 # 82-92, Medellín",316713679,com.ShopMaster.Model.Proveedor
Proveedor 141,899941456,"Carrera 68 # 81-47, Barranquilla",304909887,com.ShopMaster.Model.Proveedor
Proveedor 142,898682548,"Carrera 33 # 46-81, Cartagena",301377457,com.ShopMaster.Model.Proveedor
Proveedor 143,897664419,"Carrera 70 # 68-4, Bogotá",315024022,com.ShopMaster.Model.Proveedor
Proveedor 144,892973701,"Carrera 90 # 3-96, Cali",314922646,com.ShopMaster.Model.Proveedor
Proveedor 145,896572393,"Carrera 32 # 67-89, Bogotá",315177844,com.ShopMaster.Model.Proveedor
Proveedor 146,898649353,"Carrera 43 # 3-53, Bogotá",302048901,com.ShopMaster.Model.Proveedor
Proveedor 147,891651152,"Carrera 86 # 33-55, Cartagena",318643726,com.ShopMaster.Model.Proveedor
Proveedor 148,894928606,"Carrera 6 # 35-17, Bogotá",311896493,com.ShopMaster.Model.Proveedor
Proveedor 149,895600927,"Carrera 54 # 80-59, Medellín",312573110,com.ShopMaster.Model.Proveedor
Proveedor 150,896827417,"Carrera 46 # 17-68, Medellín",315198096,com.ShopMaster.Model.Proveedor
Proveedor 151,896424214,"Carrera 10 # 44-75, Cali",302576705,com.ShopMaster.Model.Proveedor
Proveedor 152,895360191,"Carrera 92 # 75-41, Cali",309532356,com.ShopMaster.Model.Proveedor
Proveedor 153,895553578,"Carrera 49 # 80-94, Cali",315961251,com.ShopMaster.Model.Proveedor
Proveedor 154,892593349,"Carrera 6 # 66-49, Barranquilla",307729159,com.ShopMaster.Model.Proveedor
Proveedor 155,898924798,"Carrera 32 # 28-33, Bogotá",307376091,com.ShopMaster.Model.Proveedor
Proveedor 156,899232417,"Carrera 95 # 76-9, Barranquilla",303905031,com.ShopMaster.Model.Proveedor
Proveedor 157,895553495,"Carrera 12 # 49-93, Cali",308961658,com.ShopMaster.Model.Proveedor
Proveedor 158,891686644,"Carrera 36 # 75-35, Cali",308512293,com.ShopMaster.Model.Proveedor
Proveedor 159,892756005,"Carrera 38 # 13-59, Barranquilla",301410387,com.ShopMaster.Model.Proveedor
Proveedor 160,899181932,"Carrera 81 # 14-76, Cali",305040729,com.ShopMaster.Model.Proveedor
Proveedor 161,895252715,"Carrera 23 # 44-93, Cartagena",306585590,com.ShopMaster.Model.Proveedor
Proveedor 162,899460823,"Carrera 49 # 43-67, Cartagena",301082843,com.ShopMaster.Model.Proveedor
Proveedor 163,894158344,"Carrera 8 # 42-64, Medellín",311774054,com.ShopMaster.Model.Proveedor
Proveedor 164,894069758,"Carrera 75 # 75-56, Cali",306424594,com.ShopMaster.Model.Proveedor
Proveedor 165,895225085,"Carrera 92 # 56-22, Medellín",313323466,com.ShopMaster.Model.Proveedor
Proveedor 166,892075039,"Carrera 89 # 72-94, Cartagena",317027938,com.ShopMaster.Model.Proveedor
Proveedor 167,894880369,"Carrera 24 # 58-12, Cartagena",316176144,com.ShopMaster.Model.Proveedor
Proveedor 168,891204025,"Carrera 95 # 29-74, Cartagena",309603997,com.ShopMaster.Model.Proveedor
Proveedor 169,895559652,"Carrera 43 # 54-41, Cali",311059590,com.ShopMaster.Model.Proveedor
Proveedor 170,895218077,"Carrera 52 # 93-38, Bogotá",318992278,com.ShopMaster.Model.Proveedor
Proveedor 171,898160392,"Carrera 77 # 28-31, Cartagena",311810334,com.ShopMaster.Model.Proveedor
Proveedor 172,896501130,"Carrera 31 # 81-97, Barranquilla",302437100,com.ShopMaster.Model.Proveedor
Proveedor 173,891735282,"Carrera 64 # 30-44, Cali",318718426,com.ShopMaster.Model.Proveedor
Proveedor 174,892319902,"Carrera 14 # 69-5, Bogotá",311635889,com.ShopMaster.Model.Proveedor
Proveedor 175,898894980,"Carrera 43 # 56-85, Barranquilla",317775844,com.ShopMaster.Model.Proveedor
Proveedor 176,896821088,"Carrera 76 # 46-72, Cali",307356680,com.ShopMaster.Model.Proveedor
Proveedor 177,892929787,"Carrera 18 # 33-98, Cartagena",309221131,com.ShopMaster.Model.Proveedor
Proveedor 178,894798423,"Carrera 54 # 43-68, Bogotá",301844076,com.ShopMaster.Model.Proveedor
Proveedor 179,899711385,"Carrera 33 # 95-73, Cartagena",312487411,com.ShopMaster.Model.Proveedor
Proveedor 180,893223256,"Carrera 5 # 7-64, Medellín",306762312,com.ShopMaster.Model.Proveedor
Proveedor 181,892033058,"Carrera 78 # 42-65, Cali",316657949,com.ShopMaster.Model.Proveedor
Proveedor 182,893568800,"Carrera 10 # 49-68, Cartagena",306528323,com.ShopMaster.Model.Proveedor
Proveedor 183,898912973,"Carrera 68 # 5-7, Cartagena",309269173,com.ShopMaster.Model.Proveedor
Proveedor 184,891065934,"Carrera 5 # 22-7, Bogotá",306170878,com.ShopMaster.Model.Proveedor
Proveedor 185,893997736,"Carrera 26 # 90-68, Cali",312907575,com.ShopMaster.Model.Proveedor
Proveedor 186,892561917,"Carrera 33 # 19-73, Bogotá",313544699,com.ShopMaster.Model.Proveedor
Proveedor 187,895526521,"Carrera 77 # 61-25, Bogotá",302869923,com.ShopMaster.Model.Proveedor
Proveedor 188,893448769,"Carrera 53 # 4-84, Cali",313154703,com.ShopMaster.Model.Proveedor
Proveedor 189,893242303,"Carrera 23 # 88-51, Bogotá",304527182,com.ShopMaster.Model.Proveedor
Proveedor 190,892040856,"Carrera 28 # 68-47, Bogotá",317882197,com.ShopMaster.Model.Proveedor
Proveedor 191,897991346,"Carrera 31 # 51-69, Bogotá",304780452,com.ShopMaster.Model.Proveedor
Proveedor 192,896176434,"Carrera 85 # 16-24, Barranquilla",308255008,com.ShopMaster.Model.Proveedor
Proveedor 193,891664921,"Carrera 69 # 66-39, Medellín",301433016,com.ShopMaster.Model.Proveedor
Proveedor 194,891249075,"Carrera 54 # 54-20, Medellín",308074551,com.ShopMaster.Model.Proveedor
Proveedor 195,896338174,"Carrera 46 # 44-92, Cali",304819346,com.ShopMaster.Model.Proveedor
Proveedor 196,894062614,"Carrera 41 # 49-38, Bogotá",305393749,com.ShopMaster.Model.Proveedor
Proveedor 197,894197649,"Carrera 21 # 45-34, Cali",303605062,com.ShopMaster.Model.Proveedor
Proveedor 198,891762926,"Carrera 80 # 91-84, Medellín",307716776,com.ShopMaster.Model.Proveedor
Proveedor 199,891199480,"Carrera 86 # 59-83, Bogotá",313141931,com.ShopMaster.Model.Proveedor
Proveedor 200,894169345,"Carrera 54 # 78-4, Barranquilla",309029430,com.ShopMaster.Model.Proveedor
Proveedor 201,891824093,"Carrera 52 # 3-7, Medellín",301775263,com.ShopMaster.Model.Proveedor
Proveedor 202,896658613,"Carrera 78 # 8-75, Cartagena",311561371,com.ShopMaster.Model.Proveedor
Proveedor 203,893879951,"Carrera 53 # 7-48, Barranquilla",317013059,com.ShopMaster.Model.Proveedor
Proveedor 204,894182904,"Carrera 46 # 99-81, Bogotá",302260905,com.ShopMaster.Model.Proveedor
Proveedor 205,897788727,"Carrera 67 # 11-6, Bogotá",315301810,com.ShopMaster.Model.Proveedor
Proveedor 206,895814682,"Carrera 17 # 66-9, Barranquilla",304175042,com.ShopMaster.Model.Proveedor
Proveedor 207,898960877,"Carrera 19 # 37-99, Cali",303493063,com.ShopMaster.Model.Proveedor
Proveedor 208,893105011,"Carrera 29 # 23-51, Medellín",305306213,com.ShopMaster.Model.Proveedor
Proveedor 209,898279284,"Carrera 10 # 89-28, Medellín",309671678,com.ShopMaster.Model.Proveedor
Proveedor 210,895237398,"Carrera 22 # 67-24, Bogotá",318912168,com.ShopMaster.Model.Proveedor
Proveedor 211,898445211,"Carrera 22 # 90-66, Barranquilla",315805411,com.ShopMaster.Model.Proveedor
Proveedor 212,893350573,"Carrera 87 # 57-55, Cartagena",319181967,com.ShopMaster.Model.Proveedor
Proveedor 213,894484363,"Carrera 80 # 13-25, Cali",305190046,com.ShopMaster.Model.Proveedor
Proveedor 214,892351336,"Carrera 53 # 90-93, Barranquilla",308484955,com.ShopMaster.Model.Proveedor
Proveedor 215,892418919,"Carrera 26 # 63-1, Cali",313071549,com.ShopMaster.Model.Proveedor
Proveedor 216,895460346,"Carrera 77 # 77-100, Cartagena",316408478,com.ShopMaster.Model.Proveedor
Proveedor 217,899379876,"Carrera 48 # 70-71, Cali",309367774,com.ShopMaster.Model.Proveedor
Proveedor 218,894808985,"Carrera 54 # 23-40, Barranquilla",319745352,com.ShopMaster.Model.Proveedor
Proveedor 219,894182258,"Carrera 48 # 29-92, Cartagena",307945876,com.ShopMaster.Model.Proveedor
Proveedor 220,892807053,"Carrera 3 # 70-34, Cartagena",308027036,com.ShopMaster.Model.Proveedor
Proveedor 221,893067946,"Carrera 35 # 20-81, Bogotá",301162454,com.ShopMaster.Model.Proveedor
Proveedor 222,898196727,"Carrera 95 # 82-75, Bogotá",307579282,com.ShopMaster.Model.Proveedor
Proveedor 223,895512936,"Carrera 43 # 74-45, Cali",315936074,com.ShopMaster.Model.Proveedor
Proveedor 224,893495904,"Carrera 33 # 23-29, Barranquilla",308690721,com.ShopMaster.Model.Proveedor
Proveedor 225,898568720,"Carrera 98 # 83-98, Cali",305430973,com.ShopMaster.Model.Proveedor
Proveedor 226,891139927,"Carrera 83 # 77-81, Cali",312970006,com.ShopMaster.Model.Proveedor
Proveedor 227,895992059,"Carrera 44 # 42-62, Cartagena",311748899,com.ShopMaster.Model.Proveedor
Proveedor 228,894999104,"Carrera 26 # 40-42, Medellín",301851896,com.ShopMaster.Model.Proveedor
Proveedor 229,895230519,"Carrera 38 # 29-33, Cartagena",308883513,com.ShopMaster.Model.Proveedor
Proveedor 230,899132975,"Carrera 67 # 88-66, Bogotá",313869253,com.ShopMaster.Model.Proveedor
Proveedor 231,899645717,"Carrera 37 # 20-32, Medellín",314436607,com.ShopMaster.Model.Proveedor
Proveedor 232,891708949,"Carrera 78 # 85-78, Medellín",307431120,com.ShopMaster.Model.Proveedor
Proveedor 233,893644683,"Carrera 47 # 6-2, Barranquilla",316592935,com.ShopMaster.Model.Proveedor
Proveedor 234,898145801,"Carrera 4 # 51-87, Bogotá",307739861,com.ShopMaster.Model.Proveedor
Proveedor 235,892144069,"Carrera 99 # 21-1, Cali",311687640,com.ShopMaster.Model.Proveedor
Proveedor 236,898162032,"Carrera 97 # 96-28, Cali",305714896,com.ShopMaster.Model.Proveedor
Proveedor 237,895007493,"Carrera 26 # 30-2, Cartagena",317087422,com.ShopMaster.Model.Proveedor
Proveedor 238,897651426,"Carrera 85 # 47-92, Cali",314582972,com.ShopMaster.Model.Proveedor
Proveedor 239,894482600,"Carrera 55 # 74-4, Cartagena",316112956,com.ShopMaster.Model.Proveedor
Proveedor 240,899483928,"Carrera 71 # 65-4, Cali",308144310,com.ShopMaster.Model.Proveedor
Proveedor 241,891858334,"Carrera 30 # 63-70, Cartagena",303665302,com.ShopMaster.Model.Proveedor
Proveedor 242,897672924,"Carrera 23 # 87-75, Medellín",318604270,com.ShopMaster.Model.Proveedor
Proveedor 243,892157127,"Carrera 70 # 13-84, Barranquilla",304053372,com.ShopMaster.Model.Proveedor
Proveedor 244,891702060,"Carrera 39 # 92-10, Medellín",309992761,com.ShopMaster.Model.Proveedor
Proveedor 245,892221338,"Carrera 69 # 62-63, Barranquilla",304738815,com.ShopMaster.Model.Proveedor
Proveedor 246,892557076,"Carrera 40 # 70-7, Cali",313696480,com.ShopMaster.Model.Proveedor
Proveedor 247,892218862,"Carrera 79 # 20-13, Cali",302830857,com.ShopMaster.Model.Proveedor
Proveedor 248,893839550,"Carrera 62 # 58-49, Medellín",303102421,com.ShopMaster.Model.Proveedor
Proveedor 249,898748286,"Carrera 73 # 59-11, Cartagena",307762210,com.ShopMaster.Model.Proveedor
Proveedor 250,896357423,"Carrera 11 # 96-95, Medellín",319780326,com.ShopMaster.Model.Proveedor
Proveedor 251,891400449,"Carrera 7 # 85-49, Bogotá",314309174,com.ShopMaster.Model.Proveedor
Proveedor 252,899313602,"Carrera 13 # 75-73, Barranquilla",317956893,com.ShopMaster.Model.Proveedor
Proveedor 253,894036837,"Carrera 84 # 65-38, Medellín",314612288,com.ShopMaster.Model.Proveedor
Proveedor 254,891690332,"Carrera 81 # 36-82, Cartagena",315209231,com.ShopMaster.Model.Proveedor
Proveedor 255,891325272,"Carrera 56 # 89-67, Barranquilla",315956288,com.ShopMaster.Model.Proveedor
Proveedor 256,898880282,"Carrera 59 # 64-89, Barranquilla",307328861,com.ShopMaster.Model.Proveedor
Proveedor 257,892679361,"Carrera 53 # 27-60, Bogotá",303184020,com.ShopMaster.Model.Proveedor
Proveedor 258,895666061,"Carrera 87 # 50-44, Bogotá",312817667,com.ShopMaster.Model.Proveedor
Proveedor 259,893723226,"Carrera 91 # 61-58, Medellín",301033333,com.ShopMaster.Model.Proveedor
Proveedor 260,897466482,"Carrera 75 # 96-58, Barranquilla",307021863,com.ShopMaster.Model.Proveedor
